--P,--R,--method,--metric,--hist-smooth,--blur,--ltp-threshold,--crop-seed,correct_matches,total,pct_correct,highest_correct,lowest_correct,highest_incorrect,lowest_incorrect,csv_file,results_json_file
8,1,ror,hellinger,1e-06,0.0,3,1,35,75,46.666666666666664,0.08705589202830764,0.043542430176718355,0.10139650193622449,0.04305296905249958,exp_8_1_ror_hellinger_1e-06_0.0_3_1.csv,exp_8_1_ror_hellinger_1e-06_0.0_3_1_results.json
8,1,ror,hellinger,1e-06,0.0,3,42,41,75,54.666666666666664,0.08817645492301002,0.041055507702605215,0.23078909564148192,0.044363284600133446,exp_8_1_ror_hellinger_1e-06_0.0_3_42.csv,exp_8_1_ror_hellinger_1e-06_0.0_3_42_results.json
8,1,ror,hellinger,1e-06,0.0,3,35,43,75,57.333333333333336,0.09084478093224628,0.043839900784714725,0.07865864034483507,0.04336664248856817,exp_8_1_ror_hellinger_1e-06_0.0_3_35.csv,exp_8_1_ror_hellinger_1e-06_0.0_3_35_results.json
8,1,ror,hellinger,1e-06,0.0,3,99,31,75,41.333333333333336,0.0930791947962562,0.03867942381576306,0.0825073075975818,0.04144485720068817,exp_8_1_ror_hellinger_1e-06_0.0_3_99.csv,exp_8_1_ror_hellinger_1e-06_0.0_3_99_results.json
8,1,ror,hellinger,1e-06,0.0,3,123,39,75,52.0,0.12909946574465112,0.04303201524458779,0.09281167277933702,0.04605993861680113,exp_8_1_ror_hellinger_1e-06_0.0_3_123.csv,exp_8_1_ror_hellinger_1e-06_0.0_3_123_results.json
8,1,ror,hellinger,1e-06,0.0,4,1,35,75,46.666666666666664,0.10634324975639707,0.0456844583175791,0.10500615312236238,0.046396135752827104,exp_8_1_ror_hellinger_1e-06_0.0_4_1.csv,exp_8_1_ror_hellinger_1e-06_0.0_4_1_results.json
8,1,ror,hellinger,1e-06,0.0,4,42,40,75,53.333333333333336,0.09021851672682513,0.04435197928178046,0.23786629138995752,0.04784731550820137,exp_8_1_ror_hellinger_1e-06_0.0_4_42.csv,exp_8_1_ror_hellinger_1e-06_0.0_4_42_results.json
8,1,ror,hellinger,1e-06,0.0,4,35,39,75,52.0,0.0898458264721209,0.046142762473305586,0.08822360268937617,0.04276264636458536,exp_8_1_ror_hellinger_1e-06_0.0_4_35.csv,exp_8_1_ror_hellinger_1e-06_0.0_4_35_results.json
8,1,ror,hellinger,1e-06,0.0,4,99,31,75,41.333333333333336,0.09677203864969955,0.04381562710769514,0.0924698878426049,0.042194882175730274,exp_8_1_ror_hellinger_1e-06_0.0_4_99.csv,exp_8_1_ror_hellinger_1e-06_0.0_4_99_results.json
8,1,ror,hellinger,1e-06,0.0,4,123,33,75,44.0,0.11707500632432812,0.037933823844831065,0.09490270156943946,0.03812809768644009,exp_8_1_ror_hellinger_1e-06_0.0_4_123.csv,exp_8_1_ror_hellinger_1e-06_0.0_4_123_results.json
