Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Banded13,Banded,0,0,0,Banded,2,0.0009328372855143444,True
1,Banded13,Banded,0,0,0,Banded,6,0.01469518480829319,True
1,Banded13,Banded,0,0,0,Banded,9,0.01492926456183131,True
1,Banded13,Banded,0,0,0,Waffled,247,0.04390794438692709,False
1,Banded13,Banded,0,0,0,Waffled,244,0.045021008039803447,False
2,Banded13,Banded,0,22,0,Banded,7,0.01344908755669137,True
2,Banded13,Banded,0,22,0,Chequered,20,0.018235296435073708,False
2,Banded13,Banded,0,22,0,Waffled,245,0.021893063815220694,False
2,Banded13,Banded,0,22,0,Banded,4,0.03267554318193815,True
2,Banded13,Banded,0,22,0,Meshed,163,0.03487085333089603,False
3,Banded13,Banded,0,45,0,Banded,8,0.010391550787402254,True
3,Banded13,Banded,0,45,0,Chequered,21,0.018668410917955125,False
3,Banded13,Banded,0,45,0,Banded,10,0.03292334521437243,True
3,Banded13,Banded,0,45,0,Waffled,246,0.039780847157205285,False
3,Banded13,Banded,0,45,0,Stratified,205,0.04531542106953084,False
4,Banded13,Banded,0,90,0,Banded,0,0.0009328372855143444,True
4,Banded13,Banded,0,90,0,Banded,9,0.013643744362899916,True
4,Banded13,Banded,0,90,0,Banded,6,0.013851399746508855,True
4,Banded13,Banded,0,90,0,Waffled,247,0.04399309565382008,False
4,Banded13,Banded,0,90,0,Waffled,244,0.04541540292391049,False
5,Banded2,Banded,0,0,0,Banded,5,0.012689521178931733,True
5,Banded2,Banded,0,0,0,Waffled,243,0.09689283622619514,False
5,Banded2,Banded,0,0,0,Waffled,244,0.13778916708742373,False
5,Banded2,Banded,0,0,0,Waffled,247,0.14081400045921247,False
5,Banded2,Banded,0,0,0,Frilly,82,0.14870314761783893,False
6,Banded2,Banded,0,22,0,Waffled,245,0.014056959077298922,False
6,Banded2,Banded,0,22,0,Banded,7,0.01793009339193609,True
6,Banded2,Banded,0,22,0,Striped,213,0.023144272702341748,False
6,Banded2,Banded,0,22,0,Chequered,20,0.023530433666656015,False
6,Banded2,Banded,0,22,0,Stratified,212,0.02494096076441702,False
7,Banded2,Banded,0,90,0,Banded,4,0.012689521178931733,True
7,Banded2,Banded,0,90,0,Waffled,243,0.08335073895022606,False
7,Banded2,Banded,0,90,0,Waffled,244,0.12426857110528988,False
7,Banded2,Banded,0,90,0,Waffled,247,0.12637872196732267,False
7,Banded2,Banded,0,90,0,Frilly,82,0.13134174420697076,False
8,Banded5,Banded,0,0,0,Banded,9,0.0003688760772038986,True
8,Banded5,Banded,0,0,0,Banded,3,0.013851399746508855,True
8,Banded5,Banded,0,0,0,Banded,0,0.01469518480829319,True
8,Banded5,Banded,0,0,0,Bubbly,19,0.026289985126571776,False
8,Banded5,Banded,0,0,0,Chequered,22,0.02751977007698471,False
