--P,--R,--method,--metric,--hist-smooth,--blur,--ltp-threshold,--crop-seed,correct_matches,total,pct_correct,highest_correct,lowest_correct,highest_incorrect,lowest_incorrect,csv_file,results_json_file
8,1,ror,hellinger,1e-06,1.0,3,12345,39,75,52.0,0.09763544039458924,0.04124129671137844,0.12100537063371027,0.02386962709991418,exp_8_1_ror_hellinger_1e-06_1.0_3_12345.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_12345_results.json
8,1,ror,hellinger,1e-06,1.0,3,54321,50,75,66.66666666666667,0.09350460301242336,0.037514045234805435,0.10905884749974867,0.04788342840805133,exp_8_1_ror_hellinger_1e-06_1.0_3_54321.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_54321_results.json
8,1,ror,hellinger,1e-06,1.0,3,65432,39,75,52.0,0.11196022659804596,0.04546747270478454,0.14204760419263157,0.04693764965870801,exp_8_1_ror_hellinger_1e-06_1.0_3_65432.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_65432_results.json
8,1,ror,hellinger,1e-06,1.0,3,11111,37,75,49.333333333333336,0.08845273122732006,0.041209372032763834,0.13385765790100496,0.050053187388452054,exp_8_1_ror_hellinger_1e-06_1.0_3_11111.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_11111_results.json
8,1,ror,hellinger,1e-06,1.0,3,22222,40,75,53.333333333333336,0.10953675524841795,0.04619730065964453,0.20203932140636824,0.04712921721151144,exp_8_1_ror_hellinger_1e-06_1.0_3_22222.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_22222_results.json
8,1,ror,hellinger,1e-06,1.0,3,33333,44,75,58.666666666666664,0.11446656572698921,0.04010875080789769,0.24394046752060156,0.05196854440910816,exp_8_1_ror_hellinger_1e-06_1.0_3_33333.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_33333_results.json
8,1,ror,hellinger,1e-06,1.0,3,44444,34,75,45.333333333333336,0.10713099326788157,0.04087279931850119,0.11224154048805858,0.020241741363936274,exp_8_1_ror_hellinger_1e-06_1.0_3_44444.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_44444_results.json
8,1,ror,hellinger,1e-06,1.0,3,55555,38,75,50.666666666666664,0.09193258969110346,0.04759230042288182,0.17461976655311776,0.04736954876261282,exp_8_1_ror_hellinger_1e-06_1.0_3_55555.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_55555_results.json
8,1,ror,hellinger,1e-06,1.0,3,66666,29,75,38.666666666666664,0.09813471396088709,0.04932257700017388,0.23681601760563506,0.04680796970473733,exp_8_1_ror_hellinger_1e-06_1.0_3_66666.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_66666_results.json
8,1,ror,hellinger,1e-06,1.0,3,77777,41,75,54.666666666666664,0.11343288489730323,0.03350059626464754,0.2290423634719685,0.0383487358248427,exp_8_1_ror_hellinger_1e-06_1.0_3_77777.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_77777_results.json
8,1,ror,hellinger,1e-06,1.0,3,88888,48,75,64.0,0.11535427254111423,0.04924988797826912,0.0981201393725973,0.0514112335138435,exp_8_1_ror_hellinger_1e-06_1.0_3_88888.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_88888_results.json
8,1,ror,hellinger,1e-06,1.0,3,99999,45,75,60.0,0.1276732513884878,0.043697610198923306,0.09664526741615223,0.04876811200013592,exp_8_1_ror_hellinger_1e-06_1.0_3_99999.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_99999_results.json
8,1,ror,hellinger,1e-06,1.0,3,654,46,75,61.333333333333336,0.117648382422117,0.03992969584194935,0.19085169004270963,0.05028782758917572,exp_8_1_ror_hellinger_1e-06_1.0_3_654.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_654_results.json
