Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Banded13,Banded,0,0,0,Scaly,183,0.007111041252727902,False
1,Banded13,Banded,0,0,0,Scaly,185,0.02377832776254678,False
1,Banded13,Banded,0,0,0,Dotted,44,0.024109172829138742,False
1,Banded13,Banded,0,0,0,Scaly,186,0.024210013338634498,False
1,Banded13,Banded,0,0,0,Dotted,47,0.025652581347578796,False
2,Banded13,Banded,0,22,0,Scaly,183,0.007025476477235746,False
2,Banded13,Banded,0,22,0,Dotted,44,0.024498510431636263,False
2,Banded13,Banded,0,22,0,Scaly,185,0.024713118622100315,False
2,Banded13,Banded,0,22,0,Scaly,186,0.025198023832607577,False
2,Banded13,Banded,0,22,0,Dotted,47,0.026140293569144876,False
3,Banded13,Banded,0,45,0,Scaly,183,0.0070341399467472405,False
3,Banded13,Banded,0,45,0,Scaly,185,0.02327477202858208,False
3,Banded13,Banded,0,45,0,Scaly,186,0.02368849886630734,False
3,Banded13,Banded,0,45,0,Dotted,44,0.023747454753837518,False
3,Banded13,Banded,0,45,0,Dotted,47,0.025262435939943977,False
4,Banded13,Banded,0,90,0,Scaly,183,0.007406366438933033,False
4,Banded13,Banded,0,90,0,Scaly,185,0.024166905554731825,False
4,Banded13,Banded,0,90,0,Scaly,186,0.02459862061371277,False
4,Banded13,Banded,0,90,0,Dotted,44,0.025234306428943854,False
4,Banded13,Banded,0,90,0,Dotted,47,0.026794300144132806,False
5,Banded2,Banded,0,0,0,Scaly,183,0.006861987439988668,False
5,Banded2,Banded,0,0,0,Scaly,185,0.023855485082997126,False
5,Banded2,Banded,0,0,0,Scaly,186,0.024271067679571164,False
5,Banded2,Banded,0,0,0,Dotted,44,0.02477845910976489,False
5,Banded2,Banded,0,0,0,Dotted,47,0.026354481927914442,False
6,Banded2,Banded,0,22,0,Scaly,183,0.00703605988597934,False
6,Banded2,Banded,0,22,0,Scaly,185,0.023228157895013535,False
