Index,Instance,Category,Distance,Matched_Category,Matched_Index,Correct
0,blue,blue,0,green,27,False
1,blue,blue,0,brown,7,False
2,blue,blue,0,darkGreen,16,False
3,blue,blue,0,pink,35,False
4,blue,blue,0,sparkel,68,False
5,blue,blue,0,yellow,72,False
6,brown,brown,0,brown,10,True
7,brown,brown,0,blue,5,False
8,brown,brown,0,red,51,False
9,brown,brown,0,brown,6,True
10,brown,brown,0,brown,6,True
11,darkGreen,darkGreen,0,darkGreen,13,True
12,darkGreen,darkGreen,0,darkGreen,16,True
13,darkGreen,darkGreen,0,darkGreen,11,True
14,darkGreen,darkGreen,0,purple,44,False
15,darkGreen,darkGreen,0,purple,42,False
16,darkGreen,darkGreen,0,blue,2,False
17,gray,gray,0,pink,35,False
18,gray,gray,0,gray,19,True
19,gray,gray,0,gray,18,True
20,gray,gray,0,sparkelBlue,57,False
21,gray,gray,0,gray,17,True
22,gray,gray,0,gray,20,True
23,green,green,0,green,25,True
24,green,green,0,green,26,True
25,green,green,0,green,23,True
26,green,green,0,green,24,True
27,green,green,0,blue,0,False
28,green,green,0,purple,42,False
29,lightBlue,lightBlue,0,pink,39,False
30,lightBlue,lightBlue,0,lightBlue,34,True
31,lightBlue,lightBlue,0,pink,39,False
32,lightBlue,lightBlue,0,lightBlue,30,True
33,lightBlue,lightBlue,0,lightBlue,34,True
34,lightBlue,lightBlue,0,lightBlue,30,True
35,pink,pink,0,blue,3,False
36,pink,pink,0,blue,4,False
37,pink,pink,0,purple,42,False
38,pink,pink,0,lightBlue,34,False
39,pink,pink,0,lightBlue,31,False
40,pink,pink,0,blue,3,False
41,purple,purple,0,darkGreen,14,False
42,purple,purple,0,darkGreen,14,False
43,purple,purple,0,red,50,False
44,purple,purple,0,darkGreen,14,False
45,purple,purple,0,purple,44,True
46,purple,purple,0,red,50,False
47,red,red,0,purple,42,False
48,red,red,0,purple,46,False
49,red,red,0,purple,42,False
50,red,red,0,purple,46,False
51,red,red,0,red,49,True
52,red,red,0,blue,0,False
53,sparkelBlue,sparkelBlue,0,sparkelBlue,54,True
54,sparkelBlue,sparkelBlue,0,sparkelBlue,53,True
55,sparkelBlue,sparkelBlue,0,gray,19,False
56,sparkelBlue,sparkelBlue,0,sparkelBlue,53,True
57,sparkelBlue,sparkelBlue,0,gray,20,False
58,sparkelRed,sparkelRed,0,sparkelRed,60,True
59,sparkelRed,sparkelRed,0,sparkelRed,60,True
60,sparkelRed,sparkelRed,0,sparkelRed,58,True
61,sparkelRed,sparkelRed,0,sparkelRed,62,True
62,sparkelRed,sparkelRed,0,sparkelRed,61,True
63,sparkelRed,sparkelRed,0,sparkelRed,62,True
64,sparkel,sparkel,0,sparkel,68,True
65,sparkel,sparkel,0,sparkel,69,True
66,sparkel,sparkel,0,pink,36,False
67,sparkel,sparkel,0,sparkel,68,True
68,sparkel,sparkel,0,sparkel,67,True
69,sparkel,sparkel,0,yellow,72,False
70,yellow,yellow,0,blue,2,False
71,yellow,yellow,0,yellow,73,True
72,yellow,yellow,0,blue,5,False
73,yellow,yellow,0,yellow,71,True
74,yellow,yellow,0,yellow,73,True
