Index,Instance,Category,Distance,Matched_Category,Matched_Index,Correct
0,blue,blue,0,yellow,72,False
1,blue,blue,0,purple,44,False
2,blue,blue,0,blue,1,True
3,blue,blue,0,purple,42,False
4,blue,blue,0,purple,43,False
5,blue,blue,0,red,49,False
6,brown,brown,0,sparkelRed,60,False
7,brown,brown,0,blue,3,False
8,brown,brown,0,brown,9,True
9,brown,brown,0,brown,8,True
10,brown,brown,0,sparkelRed,60,False
11,darkGreen,darkGreen,0,darkGreen,15,True
12,darkGreen,darkGreen,0,darkGreen,15,True
13,darkGreen,darkGreen,0,purple,44,False
14,darkGreen,darkGreen,0,blue,5,False
15,darkGreen,darkGreen,0,darkGreen,14,True
16,darkGreen,darkGreen,0,darkGreen,15,True
17,gray,gray,0,pink,40,False
18,gray,gray,0,gray,22,True
19,gray,gray,0,gray,20,True
20,gray,gray,0,gray,19,True
21,gray,gray,0,sparkelBlue,56,False
22,gray,gray,0,gray,18,True
23,green,green,0,sparkel,66,False
24,green,green,0,sparkelBlue,57,False
25,green,green,0,sparkel,66,False
26,green,green,0,blue,0,False
27,green,green,0,sparkelBlue,57,False
28,green,green,0,sparkelBlue,56,False
29,lightBlue,lightBlue,0,lightBlue,31,True
30,lightBlue,lightBlue,0,pink,38,False
31,lightBlue,lightBlue,0,yellow,71,False
32,lightBlue,lightBlue,0,lightBlue,30,True
33,lightBlue,lightBlue,0,red,48,False
34,lightBlue,lightBlue,0,brown,9,False
35,pink,pink,0,pink,40,True
36,pink,pink,0,pink,38,True
37,pink,pink,0,yellow,70,False
38,pink,pink,0,lightBlue,30,False
39,pink,pink,0,yellow,74,False
40,pink,pink,0,pink,35,True
41,purple,purple,0,sparkel,69,False
42,purple,purple,0,yellow,72,False
43,purple,purple,0,blue,4,False
44,purple,purple,0,blue,1,False
45,purple,purple,0,red,47,False
46,purple,purple,0,red,47,False
47,red,red,0,purple,46,False
48,red,red,0,lightBlue,33,False
49,red,red,0,blue,5,False
50,red,red,0,yellow,72,False
51,red,red,0,red,47,True
52,red,red,0,purple,46,False
53,sparkelBlue,sparkelBlue,0,gray,19,False
54,sparkelBlue,sparkelBlue,0,sparkelBlue,56,True
55,sparkelBlue,sparkelBlue,0,sparkelBlue,56,True
56,sparkelBlue,sparkelBlue,0,sparkelBlue,55,True
57,sparkelBlue,sparkelBlue,0,green,27,False
58,sparkelRed,sparkelRed,0,lightBlue,32,False
59,sparkelRed,sparkelRed,0,sparkelRed,60,True
60,sparkelRed,sparkelRed,0,sparkelRed,59,True
61,sparkelRed,sparkelRed,0,sparkelRed,63,True
62,sparkelRed,sparkelRed,0,yellow,73,False
63,sparkelRed,sparkelRed,0,sparkelRed,62,True
64,sparkel,sparkel,0,sparkel,65,True
65,sparkel,sparkel,0,sparkel,64,True
66,sparkel,sparkel,0,green,23,False
67,sparkel,sparkel,0,sparkel,68,True
68,sparkel,sparkel,0,sparkel,67,True
69,sparkel,sparkel,0,purple,41,False
70,yellow,yellow,0,pink,37,False
71,yellow,yellow,0,lightBlue,31,False
72,yellow,yellow,0,blue,0,False
73,yellow,yellow,0,sparkelRed,62,False
74,yellow,yellow,0,pink,39,False
