Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Banded13,Banded,0,0,0,Banded,1,0.026291482945120487,True
1,Banded13,Banded,0,0,0,Banded,8,0.02733456474024544,True
1,Banded13,Banded,0,0,0,Bubbly,19,0.0454903422610491,False
1,Banded13,Banded,0,0,0,Chequered,22,0.045926254657186874,False
1,Banded13,Banded,0,0,0,Waffled,246,0.05367193066896142,False
2,Banded13,Banded,0,22,0,Banded,7,0.025824491529159395,True
2,Banded13,Banded,0,22,0,Chequered,20,0.03551017480137601,False
2,Banded13,Banded,0,22,0,Meshed,163,0.048097878224193105,False
2,Banded13,Banded,0,22,0,Meshed,166,0.04908994205677386,False
2,Banded13,Banded,0,22,0,Meshed,165,0.0534472337661097,False
3,Banded13,Banded,0,45,0,Banded,8,0.026206598436683243,True
3,Banded13,Banded,0,45,0,Chequered,21,0.039351425046717334,False
3,Banded13,Banded,0,45,0,Chequered,22,0.042727282073773735,False
3,Banded13,Banded,0,45,0,Bubbly,19,0.04365926389823452,False
3,Banded13,Banded,0,45,0,Wrinkled,270,0.06632707545851135,False
4,Banded13,Banded,0,90,0,Banded,8,0.026614239206929936,True
4,Banded13,Banded,0,90,0,Banded,2,0.0266745906894083,True
4,Banded13,Banded,0,90,0,Bubbly,19,0.04752080331041195,False
4,Banded13,Banded,0,90,0,Chequered,22,0.04785016512271185,False
4,Banded13,Banded,0,90,0,Banded,9,0.05451696494847468,True
5,Banded2,Banded,0,0,0,Waffled,246,0.04489243498076298,False
5,Banded2,Banded,0,0,0,Dotted,45,0.04539501138943167,False
5,Banded2,Banded,0,0,0,Stratified,200,0.0465287923518754,False
5,Banded2,Banded,0,0,0,Dotted,44,0.04659508501605583,False
5,Banded2,Banded,0,0,0,Banded,8,0.04878177351992001,True
6,Banded2,Banded,0,22,0,Dotted,40,0.03315755522393743,False
6,Banded2,Banded,0,22,0,Dotted,41,0.033745433817430975,False
6,Banded2,Banded,0,22,0,Cracked,39,0.03771158904191194,False
6,Banded2,Banded,0,22,0,Stratified,212,0.03849344214454633,False
6,Banded2,Banded,0,22,0,Dotted,42,0.04004656587661734,False
7,Banded2,Banded,0,90,0,Waffled,246,0.04377540171229516,False
7,Banded2,Banded,0,90,0,Dotted,45,0.04515914528505817,False
7,Banded2,Banded,0,90,0,Dotted,44,0.045969608757523026,False
7,Banded2,Banded,0,90,0,Stratified,200,0.04630352023039597,False
7,Banded2,Banded,0,90,0,Banded,8,0.0487094561069361,True
8,Banded5,Banded,0,0,0,Banded,8,0.01803489891233572,True
8,Banded5,Banded,0,0,0,Stratified,200,0.03677178798338882,False
8,Banded5,Banded,0,0,0,Cracked,29,0.04547483600925909,False
8,Banded5,Banded,0,0,0,Swirly,237,0.046567283996501854,False
8,Banded5,Banded,0,0,0,Swirly,234,0.04740279528947562,False
9,Banded5,Banded,0,22,0,Meshed,163,0.025438345954584617,False
9,Banded5,Banded,0,22,0,Meshed,166,0.025837336011010178,False
9,Banded5,Banded,0,22,0,Meshed,165,0.031144614739443473,False
9,Banded5,Banded,0,22,0,Meshed,162,0.03301856338733391,False
9,Banded5,Banded,0,22,0,Meshed,164,0.037983735233549004,False
10,Banded5,Banded,0,45,0,Chequered,21,0.039762728610730776,False
10,Banded5,Banded,0,45,0,Cracked,29,0.044662418534171695,False
10,Banded5,Banded,0,45,0,Cracked,31,0.04620689517514288,False
10,Banded5,Banded,0,45,0,Chequered,27,0.04633101346797373,False
10,Banded5,Banded,0,45,0,Cracked,28,0.046426177020068626,False
11,Banded5,Banded,0,90,0,Banded,9,0.017513487289043672,True
11,Banded5,Banded,0,90,0,Stratified,200,0.03665895800337401,False
11,Banded5,Banded,0,90,0,Cracked,29,0.0456341970349434,False
11,Banded5,Banded,0,90,0,Swirly,237,0.046616696482597544,False
11,Banded5,Banded,0,90,0,Chequered,22,0.047061512290215754,False
12,Banded,Banded,0,45,0,Banded,9,0.037543011021903924,True
12,Banded,Banded,0,45,0,Dotted,45,0.038419559632873704,False
12,Banded,Banded,0,45,0,Stratified,200,0.04256154232556941,False
12,Banded,Banded,0,45,0,Dotted,44,0.04260175033196087,False
12,Banded,Banded,0,45,0,Cracked,39,0.04475238551173322,False
13,Bubbly16,Bubbly,0,0,0,Bubbly,14,0.0010525279047850914,True
13,Bubbly16,Bubbly,0,0,0,Studded,228,0.007771693332440117,False
13,Bubbly16,Bubbly,0,0,0,Lacelike,142,0.011313782139963539,False
13,Bubbly16,Bubbly,0,0,0,Matted,147,0.01265184327997536,False
13,Bubbly16,Bubbly,0,0,0,Knitted,117,0.013095341364696797,False
14,Bubbly16,Bubbly,0,22,0,Bubbly,13,0.0028895504003931833,True
14,Bubbly16,Bubbly,0,22,0,Swirly,229,0.007923726384062448,False
14,Bubbly16,Bubbly,0,22,0,Swirly,231,0.00831360673993039,False
14,Bubbly16,Bubbly,0,22,0,Swirly,232,0.008372515785243864,False
14,Bubbly16,Bubbly,0,22,0,Swirly,230,0.008953406794215298,False
15,Bubbly16,Bubbly,0,45,0,Bubbly,13,0.003964888023948844,True
15,Bubbly16,Bubbly,0,45,0,Swirly,229,0.007947808206624576,False
15,Bubbly16,Bubbly,0,45,0,Bubbly,12,0.008250047430006433,True
15,Bubbly16,Bubbly,0,45,0,Swirly,231,0.008269392020039568,False
15,Bubbly16,Bubbly,0,45,0,Swirly,232,0.008429033500664328,False
16,Bubbly16,Bubbly,0,90,0,Bubbly,12,0.0015029537493540725,True
16,Bubbly16,Bubbly,0,90,0,Studded,228,0.0074541348660838135,False
16,Bubbly16,Bubbly,0,90,0,Lacelike,142,0.010745955300820852,False
16,Bubbly16,Bubbly,0,90,0,Matted,147,0.011864338841865194,False
16,Bubbly16,Bubbly,0,90,0,Knitted,117,0.013245298798404326,False
