Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Banded13,Banded,0,0,0,Banded,6,0.05249399999651935,True
1,Banded13,Banded,0,0,0,Banded,2,0.05264963301528658,True
1,Banded13,Banded,0,0,0,Banded,9,0.05903255738957157,True
1,Banded13,Banded,0,0,0,Chequered,22,0.0656231333799695,False
1,Banded13,Banded,0,0,0,Bubbly,19,0.06742600448558958,False
2,Banded13,Banded,0,22,0,Banded,7,0.01564663811971878,True
2,Banded13,Banded,0,22,0,Chequered,20,0.019011260652056394,False
2,Banded13,Banded,0,22,0,Meshed,159,0.04026034818086843,False
2,Banded13,Banded,0,22,0,Meshed,163,0.040499376698631934,False
2,Banded13,Banded,0,22,0,Meshed,166,0.040908865336516886,False
3,Banded13,Banded,0,45,0,Banded,8,0.014308616227237364,True
3,Banded13,Banded,0,45,0,Chequered,21,0.019517290951192923,False
3,Banded13,Banded,0,45,0,Banded,9,0.03523281373373378,True
3,Banded13,Banded,0,45,0,Banded,6,0.03865898007571652,True
3,Banded13,Banded,0,45,0,Meshed,160,0.042624703200902336,False
4,Banded13,Banded,0,90,0,Banded,0,0.047417017512709526,True
4,Banded13,Banded,0,90,0,Banded,6,0.04774111441663376,True
4,Banded13,Banded,0,90,0,Banded,9,0.05373877876367725,True
4,Banded13,Banded,0,90,0,Chequered,22,0.0617789158147111,False
4,Banded13,Banded,0,90,0,Bubbly,19,0.06338520772024848,False
5,Banded2,Banded,0,0,0,Banded,6,0.22443731056722083,True
5,Banded2,Banded,0,0,0,Banded,9,0.22712501528710816,True
5,Banded2,Banded,0,0,0,Banded,0,0.2320094421914522,True
5,Banded2,Banded,0,0,0,Banded,3,0.23258451233168007,True
5,Banded2,Banded,0,0,0,Bubbly,19,0.24279562354715634,False
6,Banded2,Banded,0,22,0,Banded,7,0.0215340225622983,True
6,Banded2,Banded,0,22,0,Stratified,212,0.02355655938554986,False
6,Banded2,Banded,0,22,0,Striped,213,0.023654466166001982,False
6,Banded2,Banded,0,22,0,Chequered,20,0.023886519808148862,False
6,Banded2,Banded,0,22,0,Striped,214,0.024049899723870966,False
7,Banded2,Banded,0,90,0,Banded,6,0.19795916415752662,True
7,Banded2,Banded,0,90,0,Banded,9,0.2007896301322875,True
7,Banded2,Banded,0,90,0,Banded,0,0.20327930762342816,True
7,Banded2,Banded,0,90,0,Banded,3,0.2040977149764256,True
7,Banded2,Banded,0,90,0,Bubbly,19,0.21435227361494683,False
8,Banded5,Banded,0,0,0,Banded,9,0.03951259111788152,True
8,Banded5,Banded,0,0,0,Chequered,22,0.04168307357332355,False
8,Banded5,Banded,0,0,0,Bubbly,19,0.04337770167773647,False
8,Banded5,Banded,0,0,0,Banded,0,0.049120470379941925,True
8,Banded5,Banded,0,0,0,Banded,3,0.049481410675636474,True
9,Banded5,Banded,0,22,0,Chequered,20,0.015172620217980255,False
9,Banded5,Banded,0,22,0,Banded,1,0.03191671647768421,True
9,Banded5,Banded,0,22,0,Stratified,212,0.03369667285951312,False
9,Banded5,Banded,0,22,0,Meshed,159,0.0363636769854503,False
9,Banded5,Banded,0,22,0,Meshed,163,0.040359636168449044,False
10,Banded5,Banded,0,45,0,Chequered,21,0.014065416681108018,False
10,Banded5,Banded,0,45,0,Banded,2,0.020707379380829505,True
10,Banded5,Banded,0,45,0,Banded,9,0.029472301445936055,True
10,Banded5,Banded,0,45,0,Banded,7,0.03168791796249515,True
10,Banded5,Banded,0,45,0,Meshed,160,0.03382655466651602,False
11,Banded5,Banded,0,90,0,Banded,7,0.03004426291852979,True
11,Banded5,Banded,0,90,0,Chequered,22,0.04114600160105649,False
11,Banded5,Banded,0,90,0,Bubbly,19,0.04256649730765657,False
11,Banded5,Banded,0,90,0,Banded,0,0.046191825394196494,True
11,Banded5,Banded,0,90,0,Banded,3,0.04645575156553702,True
12,Banded,Banded,0,45,0,Banded,9,0.016257296421745185,True
12,Banded,Banded,0,45,0,Chequered,21,0.02113306937513138,False
12,Banded,Banded,0,45,0,Stratified,212,0.034303349032689875,False
12,Banded,Banded,0,45,0,Banded,2,0.0348111949889178,True
12,Banded,Banded,0,45,0,Banded,6,0.03731290180830202,True
13,Bubbly16,Bubbly,0,0,0,Bubbly,14,0.0014648602004418674,True
13,Bubbly16,Bubbly,0,0,0,Bubbly,13,0.005045739801792785,True
13,Bubbly16,Bubbly,0,0,0,Bubbly,12,0.005181486573824283,True
13,Bubbly16,Bubbly,0,0,0,Studded,228,0.0116991950047157,False
13,Bubbly16,Bubbly,0,0,0,Swirly,229,0.014738151324420376,False
14,Bubbly16,Bubbly,0,22,0,Bubbly,13,0.004726582928475616,True
14,Bubbly16,Bubbly,0,22,0,Swirly,236,0.009033071418281677,False
14,Bubbly16,Bubbly,0,22,0,Swirly,233,0.00903852260047269,False
14,Bubbly16,Bubbly,0,22,0,Flecked,65,0.009306884861396898,False
14,Bubbly16,Bubbly,0,22,0,Swirly,235,0.009478292970440162,False
15,Bubbly16,Bubbly,0,45,0,Bubbly,13,0.0030087004813102755,True
15,Bubbly16,Bubbly,0,45,0,Flecked,65,0.008795578693328253,False
15,Bubbly16,Bubbly,0,45,0,Swirly,236,0.008872888240688112,False
15,Bubbly16,Bubbly,0,45,0,Swirly,233,0.009074007985351665,False
15,Bubbly16,Bubbly,0,45,0,Swirly,235,0.009497052631833692,False
16,Bubbly16,Bubbly,0,90,0,Bubbly,12,0.0009929576204721405,True
16,Bubbly16,Bubbly,0,90,0,Bubbly,14,0.004826203381973242,True
16,Bubbly16,Bubbly,0,90,0,Bubbly,13,0.004983072594477543,True
16,Bubbly16,Bubbly,0,90,0,Studded,228,0.011224917150700066,False
16,Bubbly16,Bubbly,0,90,0,Swirly,229,0.014721050087630524,False
17,Bubbly35,Bubbly,0,0,0,Lacelike,141,0.00701791571034042,False
17,Bubbly35,Bubbly,0,0,0,Lacelike,138,0.007019347643473662,False
17,Bubbly35,Bubbly,0,0,0,Lacelike,139,0.00712325884415419,False
17,Bubbly35,Bubbly,0,0,0,Lacelike,140,0.00821980487861862,False
