Query_Index,Query_Instance,Query_Category,Query_Distance,Query_Rotation,Query_Lighting,Matched_Category,Matched_Index,NN_Distance,Correct
1,Banded13,Banded,0,0,0,Banded,2,0.0008712309738290196,True
1,Banded13,Banded,0,0,0,Banded,6,0.01754268220785461,True
1,Banded13,Banded,0,0,0,Stratified,202,0.01758934330965731,False
1,Banded13,Banded,0,0,0,Banded,9,0.017930547197269588,True
1,Banded13,Banded,0,0,0,Waffled,247,0.0210520493072969,False
2,Banded13,Banded,0,22,0,Banded,7,0.00464915689733332,True
2,Banded13,Banded,0,22,0,Woven,250,0.008454464664847105,False
2,Banded13,Banded,0,22,0,Waffled,245,0.012785060539158588,False
2,Banded13,Banded,0,22,0,Stratified,199,0.013612310472370204,False
2,Banded13,Banded,0,22,0,Chequered,20,0.015784296181657196,False
3,Banded13,Banded,0,45,0,Banded,8,0.0020163633183979067,True
3,Banded13,Banded,0,45,0,Chequered,21,0.0045129485749043265,False
3,Banded13,Banded,0,45,0,Banded,10,0.008404266684483666,True
3,Banded13,Banded,0,45,0,Waffled,246,0.012744655710668762,False
3,Banded13,Banded,0,45,0,Chequered,22,0.019383223016700365,False
4,Banded13,Banded,0,90,0,Banded,0,0.0008712309738290196,True
4,Banded13,Banded,0,90,0,Banded,9,0.013967609719737943,True
4,Banded13,Banded,0,90,0,Banded,6,0.014054082511767246,True
4,Banded13,Banded,0,90,0,Stratified,202,0.01824338160376142,False
4,Banded13,Banded,0,90,0,Grid,83,0.02596685533171989,False
5,Banded2,Banded,0,0,0,Banded,5,0.02062317281728906,True
5,Banded2,Banded,0,0,0,Grid,92,0.10433076919456089,False
5,Banded2,Banded,0,0,0,Frilly,82,0.12897766366727553,False
5,Banded2,Banded,0,0,0,Waffled,243,0.14029682705289465,False
5,Banded2,Banded,0,0,0,Grid,96,0.21816184074448372,False
6,Banded2,Banded,0,22,0,Waffled,245,0.008573699935858185,False
6,Banded2,Banded,0,22,0,Striped,213,0.015468187658940279,False
6,Banded2,Banded,0,22,0,Striped,217,0.018367727175693793,False
6,Banded2,Banded,0,22,0,Striped,214,0.020890116924761858,False
6,Banded2,Banded,0,22,0,Striped,216,0.0222059799128683,False
7,Banded2,Banded,0,90,0,Banded,4,0.02062317281728906,True
7,Banded2,Banded,0,90,0,Grid,92,0.08747756615571073,False
7,Banded2,Banded,0,90,0,Frilly,82,0.09246559938951328,False
7,Banded2,Banded,0,90,0,Waffled,243,0.10004562732732523,False
7,Banded2,Banded,0,90,0,Grid,96,0.18297674137296746,False
8,Banded5,Banded,0,0,0,Banded,9,0.00022586413140818706,True
8,Banded5,Banded,0,0,0,Frilly,71,0.007103922369942603,False
8,Banded5,Banded,0,0,0,Frilly,73,0.009001060696156192,False
8,Banded5,Banded,0,0,0,Studded,223,0.010468199763943089,False
8,Banded5,Banded,0,0,0,Bubbly,19,0.01108395411032029,False
9,Banded5,Banded,0,22,0,Stratified,199,0.0038533930114254852,False
9,Banded5,Banded,0,22,0,Woven,250,0.004269973657641747,False
9,Banded5,Banded,0,22,0,Banded,1,0.00464915689733332,True
9,Banded5,Banded,0,22,0,Chequered,20,0.009252543048374997,False
9,Banded5,Banded,0,22,0,Waffled,245,0.009565869557009343,False
10,Banded5,Banded,0,45,0,Banded,2,0.0020163633183979067,True
10,Banded5,Banded,0,45,0,Waffled,246,0.009619493023171406,False
10,Banded5,Banded,0,45,0,Chequered,21,0.009661858818419551,False
10,Banded5,Banded,0,45,0,Banded,10,0.013048398834876499,True
10,Banded5,Banded,0,45,0,Woven,251,0.015490626538139074,False
11,Banded5,Banded,0,90,0,Banded,7,0.00022586413140818706,True
11,Banded5,Banded,0,90,0,Frilly,71,0.008074354499109171,False
11,Banded5,Banded,0,90,0,Frilly,73,0.009772554438819506,False
11,Banded5,Banded,0,90,0,Bubbly,19,0.009872781508704624,False
11,Banded5,Banded,0,90,0,Studded,223,0.01170485098942986,False
12,Banded,Banded,0,45,0,Banded,2,0.008404266684483666,True
12,Banded,Banded,0,45,0,Chequered,21,0.010084820726838263,False
12,Banded,Banded,0,45,0,Waffled,246,0.010640204485967333,False
12,Banded,Banded,0,45,0,Banded,9,0.013048398834876499,True
12,Banded,Banded,0,45,0,Chequered,22,0.02085520036289559,False
13,Bubbly16,Bubbly,0,0,0,Bubbly,14,9.454147137642382e-05,True
13,Bubbly16,Bubbly,0,0,0,Studded,228,0.0011728490496176148,False
13,Bubbly16,Bubbly,0,0,0,Stratified,207,0.0030509998331791017,False
13,Bubbly16,Bubbly,0,0,0,Cracked,35,0.003918365075203598,False
13,Bubbly16,Bubbly,0,0,0,Knitted,117,0.005339798333729853,False
14,Bubbly16,Bubbly,0,22,0,Bubbly,13,0.00018342773252554123,True
14,Bubbly16,Bubbly,0,22,0,Chequered,27,0.0005853237478735457,False
14,Bubbly16,Bubbly,0,22,0,Cracked,30,0.0010741771306542807,False
14,Bubbly16,Bubbly,0,22,0,Woven,268,0.0011246691233969812,False
14,Bubbly16,Bubbly,0,22,0,Swirly,231,0.0012968343965498357,False
15,Bubbly16,Bubbly,0,45,0,Bubbly,13,0.00018342773252554123,True
15,Bubbly16,Bubbly,0,45,0,Chequered,27,0.00039966945621682,False
15,Bubbly16,Bubbly,0,45,0,Cracked,30,0.0007114582354046428,False
15,Bubbly16,Bubbly,0,45,0,Woven,268,0.0009401126482827113,False
15,Bubbly16,Bubbly,0,45,0,Swirly,231,0.0012846842329753744,False
16,Bubbly16,Bubbly,0,90,0,Bubbly,12,9.454147137642382e-05,True
16,Bubbly16,Bubbly,0,90,0,Studded,228,0.0012051815566216973,False
16,Bubbly16,Bubbly,0,90,0,Stratified,207,0.002852792664959069,False
16,Bubbly16,Bubbly,0,90,0,Cracked,35,0.0047230240470317875,False
16,Bubbly16,Bubbly,0,90,0,Knitted,117,0.005615622037885573,False
17,Bubbly35,Bubbly,0,0,0,Bubbly,18,0.0001688637016589606,True
17,Bubbly35,Bubbly,0,0,0,Bubbly,16,0.001545815504013364,True
17,Bubbly35,Bubbly,0,0,0,Bubbly,17,0.0018283243911788303,True
17,Bubbly35,Bubbly,0,0,0,Matted,156,0.0025127164006404253,False
17,Bubbly35,Bubbly,0,0,0,Matted,153,0.0026815449382293754,False
18,Bubbly35,Bubbly,0,22,0,Bubbly,17,7.397142175540747e-05,True
18,Bubbly35,Bubbly,0,22,0,Bubbly,16,0.001545815504013364,True
18,Bubbly35,Bubbly,0,22,0,Bubbly,18,0.0024826054733188764,True
18,Bubbly35,Bubbly,0,22,0,Honeycombed,102,0.0035709009816657544,False
18,Bubbly35,Bubbly,0,22,0,Matted,155,0.003930294250805048,False
19,Bubbly35,Bubbly,0,45,0,Bubbly,17,7.397142175540747e-05,True
19,Bubbly35,Bubbly,0,45,0,Bubbly,16,0.0018283243911788303,True
